Time,Bucket,Size (GB)
2025-09-29 14:57:20.036337,test03,0.0
2025-09-29 14:57:20.036337,test04,0.0
2025-09-29 14:57:20.036337,test05,0.0
2025-09-29 14:57:20.036337,test06,0.0
2025-09-29 14:57:20.036337,test07,0.0
2025-09-29 14:57:28.497133,test01,0.244140625
2025-09-29 14:57:28.497133,test02,0.0
2025-09-29 14:57:28.497133,test03,0.0
2025-09-29 14:57:28.497133,test04,0.0
2025-09-29 14:57:28.497133,test05,0.0
2025-09-29 14:57:28.497133,test06,0.0
2025-09-29 14:57:28.497133,test07,0.0
2025-09-29 14:57:59.569736,test01,0.244140625
2025-09-29 14:57:59.569736,test02,0.048828125
2025-09-29 14:57:59.569736,test03,0.0
2025-09-29 14:57:59.569736,test04,0.0
2025-09-29 14:57:59.569736,test05,0.0
2025-09-29 14:57:59.569736,test06,0.0
2025-09-29 14:57:59.569736,test07,0.0
2025-09-29 14:58:10.635862,test01,0.244140625
2025-09-29 14:58:10.635862,test02,0.09765625
2025-09-29 14:58:10.635862,test03,0.0
2025-09-29 14:58:10.635862,test04,0.0
2025-09-29 14:58:10.635862,test05,0.0
2025-09-29 14:58:10.635862,test06,0.0
2025-09-29 14:58:10.635862,test07,0.0
2025-09-29 14:58:41.382739,test01,0.244140625
2025-09-29 14:58:41.382739,test02,0.244140625
2025-09-29 14:58:41.382739,test03,0.0
2025-09-29 14:58:41.382739,test04,0.0
2025-09-29 14:58:41.382739,test05,0.0
2025-09-29 14:58:41.382739,test06,0.0
2025-09-29 14:58:41.382739,test07,0.0
2025-09-29 14:59:12.123355,test01,0.244140625
2025-09-29 14:59:12.123355,test02,0.244140625
2025-09-29 14:59:12.123355,test03,0.0
2025-09-29 14:59:12.123355,test04,0.0
2025-09-29 14:59:12.123355,test05,0.0
2025-09-29 14:59:12.123355,test06,0.0
2025-09-29 14:59:12.123355,test07,0.0
2025-09-29 14:59:41.399154,test01,0.244140625
2025-09-29 14:59:41.399154,test02,0.244140625
2025-09-29 14:59:41.399154,test03,0.0
2025-09-29 14:59:41.399154,test04,0.0
2025-09-29 14:59:41.399154,test05,0.0
2025-09-29 14:59:41.399154,test06,0.0
2025-09-29 14:59:41.399154,test07,0.0
2025-09-29 15:00:01.597067,test01,0.244140625
2025-09-29 15:00:01.597067,test02,0.244140625
2025-09-29 15:00:01.597067,test03,0.09765625
2025-09-29 15:00:01.597067,test04,0.0
2025-09-29 15:00:01.597067,test05,0.0
2025-09-29 15:00:01.597067,test06,0.0
2025-09-29 15:00:01.597067,test07,0.0
2025-09-29 15:00:12.120916,test01,0.244140625
2025-09-29 15:00:12.120916,test02,0.244140625
2025-09-29 15:00:12.120916,test03,0.146484375
2025-09-29 15:00:12.120916,test04,0.0
2025-09-29 15:00:12.120916,test05,0.0
2025-09-29 15:00:12.120916,test06,0.0
2025-09-29 15:00:12.120916,test07,0.0
2025-09-29 15:00:21.539421,test01,0.244140625
2025-09-29 15:00:21.539421,test02,0.244140625
2025-09-29 15:00:21.539421,test03,0.146484375
2025-09-29 15:00:21.539421,test04,0.0
2025-09-29 15:00:21.539421,test05,0.0
2025-09-29 15:00:21.539421,test06,0.0
2025-09-29 15:00:21.539421,test07,0.0
2025-09-29 15:00:52.465159,test01,0.244140625
2025-09-29 15:00:52.465159,test02,0.244140625
2025-09-29 15:00:52.465159,test03,0.244140625
2025-09-29 15:00:52.465159,test04,0.0
2025-09-29 15:00:52.465159,test05,0.0
2025-09-29 15:00:52.465159,test06,0.0
2025-09-29 15:00:52.465159,test07,0.0
2025-09-29 15:01:22.476434,test01,0.244140625
2025-09-29 15:01:22.476434,test02,0.244140625
2025-09-29 15:01:22.476434,test03,0.244140625
2025-09-29 15:01:22.476434,test04,0.048828125
2025-09-29 15:01:22.476434,test05,0.09765625
2025-09-29 15:01:22.476434,test06,0.0
2025-09-29 15:01:22.476434,test07,0.0
2025-09-29 15:01:35.159958,test01,0.244140625
2025-09-29 15:01:35.159958,test02,0.244140625
2025-09-29 15:01:35.159958,test03,0.244140625
2025-09-29 15:01:35.159958,test04,0.048828125
2025-09-29 15:01:35.159958,test05,0.146484375
2025-09-29 15:01:35.159958,test06,0.0
2025-09-29 15:01:35.159958,test07,0.0
2025-09-29 15:02:06.136928,test01,0.244140625
2025-09-29 15:02:06.136928,test02,0.244140625
2025-09-29 15:02:06.136928,test03,0.244140625
2025-09-29 15:02:06.136928,test04,0.048828125
2025-09-29 15:02:06.136928,test05,0.146484375
2025-09-29 15:02:06.136928,test06,0.0
2025-09-29 15:02:06.136928,test07,0.0
2025-09-29 15:02:36.126020,test01,0.244140625
2025-09-29 15:02:36.126020,test02,0.244140625
2025-09-29 15:02:36.126020,test03,0.244140625
2025-09-29 15:02:36.126020,test04,0.048828125
2025-09-29 15:02:36.126020,test05,0.146484375
2025-09-29 15:02:36.126020,test06,0.0
2025-09-29 15:02:36.126020,test07,0.0
2025-09-29 15:02:40.512386,test01,0.244140625
2025-09-29 15:02:40.512386,test02,0.244140625
2025-09-29 15:02:40.512386,test03,0.244140625
2025-09-29 15:02:40.512386,test04,0.048828125
2025-09-29 15:02:40.512386,test05,0.146484375
2025-09-29 15:02:40.512386,test06,0.0
2025-09-29 15:02:40.512386,test07,0.0
2025-09-29 15:03:12.127669,test01,0.244140625
2025-09-29 15:03:12.127669,test02,0.244140625
2025-09-29 15:03:12.127669,test03,0.244140625
2025-09-29 15:03:12.127669,test04,0.048828125
2025-09-29 15:03:12.127669,test05,0.146484375
2025-09-29 15:03:12.127669,test06,0.0
2025-09-29 15:03:12.127669,test07,0.0
2025-09-29 15:03:17.617649,test01,0.244140625
2025-09-29 15:03:17.617649,test02,0.244140625
2025-09-29 15:03:17.617649,test03,0.244140625
2025-09-29 15:03:17.617649,test04,0.048828125
2025-09-29 15:03:17.617649,test05,0.146484375
2025-09-29 15:03:17.617649,test06,0.0
2025-09-29 15:03:17.617649,test07,0.0
2025-09-29 15:03:32.602742,test01,0.244140625
2025-09-29 15:03:32.602742,test02,0.244140625
2025-09-29 15:03:32.602742,test03,0.244140625
2025-09-29 15:03:32.602742,test04,0.048828125
2025-09-29 15:03:32.602742,test05,0.146484375
2025-09-29 15:03:32.602742,test06,0.0
2025-09-29 15:03:32.602742,test07,0.0
2025-09-29 15:03:45.634433,test01,0.244140625
2025-09-29 15:03:45.634433,test02,0.244140625
2025-09-29 15:03:45.634433,test03,0.244140625
2025-09-29 15:03:45.634433,test04,0.048828125
2025-09-29 15:03:45.634433,test05,0.146484375
2025-09-29 15:03:45.634433,test06,0.0
2025-09-29 15:03:45.634433,test07,0.0
2025-09-29 15:04:17.130357,test01,0.244140625
2025-09-29 15:04:17.130357,test02,0.244140625
2025-09-29 15:04:17.130357,test03,0.244140625
2025-09-29 15:04:17.130357,test04,0.048828125
2025-09-29 15:04:17.130357,test05,0.146484375
2025-09-29 15:04:17.130357,test06,0.0
2025-09-29 15:04:17.130357,test07,0.0
2025-09-29 15:04:47.196381,test01,0.244140625
2025-09-29 15:04:47.196381,test02,0.244140625
2025-09-29 15:04:47.196381,test03,0.244140625
2025-09-29 15:04:47.196381,test04,0.048828125
2025-09-29 15:04:47.196381,test05,0.146484375
2025-09-29 15:04:47.196381,test06,0.0
2025-09-29 15:04:47.196381,test07,0.0
2025-09-29 15:05:17.130685,test01,0.244140625
2025-09-29 15:05:17.130685,test02,0.244140625
2025-09-29 15:05:17.130685,test03,0.244140625
2025-09-29 15:05:17.130685,test04,0.048828125
2025-09-29 15:05:17.130685,test05,0.146484375
2025-09-29 15:05:17.130685,test06,0.0
2025-09-29 15:05:17.130685,test07,0.0
2025-09-29 15:05:47.218609,test01,0.244140625
2025-09-29 15:05:47.218609,test02,0.244140625
2025-09-29 15:05:47.218609,test03,0.244140625
2025-09-29 15:05:47.218609,test04,0.048828125
2025-09-29 15:05:47.218609,test05,0.146484375
2025-09-29 15:05:47.218609,test06,0.0
2025-09-29 15:05:47.218609,test07,0.0
2025-09-29 15:06:16.206153,test01,0.244140625
2025-09-29 15:06:16.206153,test02,0.244140625
2025-09-29 15:06:16.206153,test03,0.244140625
